cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,UCB+UCI+UCM+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCM+UCSC,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCD+UCR+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCM+UCR+UCSB,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCM+UCR+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCM+UCR+UCSB+UCSC,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCD+UCM+UCR+UCSC,5,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCB+UCD+UCM+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCI+UCLA+UCR+UCSB+UCSD,6,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
foothill,UCB+UCI+UCLA+UCR+UCSB+UCSD,6,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCI+UCLA+UCR+UCSB+UCSC+UCSD,6,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCI+UCLA+UCM+UCR+UCSB+UCSD,6,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCB+UCD+UCI+UCLA+UCR+UCSD,6,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
foothill,UCD+UCI+UCLA+UCR+UCSC+UCSD,6,IGETC,success,6,94.5,False,18,18,18.0,19.5,18,3,
foothill,UCD+UCI+UCLA+UCM+UCR+UCSD,6,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
